Organization Name,Organization Name URL,Number of Employees,Heat Score Tier,Operating Status,IPO Status,Headquarters Location,Industries,Description,CB Rank (Organization),Stage,CB Rank (Company)
Ancile Services,https://www.crunchbase.com/organization/ancile-services,101-250,High,Active,Private,"Houston, Texas, United States","Human Resources, Recruiting, Staffing Agency",Ancile Services is a staffing and recruiting firm that specializes in recruiting drivers for FedEx ISPs and Amazon DSPs.,"517,825",,"491,858"
Daniel,https://www.crunchbase.com/organization/daniel-55b9,101-250,High,Active,Private,"Houston, Texas, United States","Industrial Manufacturing, Manufacturing, Oil and Gas","Daniel is an oil and gas company that offers control valves, liquid turbine meters, and differential pressure flow products.","517,828",,"491,892"
Pieper-Houston Electric,https://www.crunchbase.com/organization/pieper-houston-electric,251-500,High,Active,Private,"Houston, Texas, United States","Commercial, Construction, Electrical Distribution, Energy, Industrial",Pieper-Houston Electric is an industrial firm that focuses on delivering a complete range of electrical & construction needs of its clients.,"519,616",,"493,569"
Alpha Electric Company,https://www.crunchbase.com/organization/alpha-electric-company,101-250,High,Active,Private,"Houston, Texas, United States","Construction, Consulting, Electronics",Alpha Electric is an electrical contracting firm that provides commercial electrical solutions from repair to installation for customers.,"519,883",,"493,828"
PM Realty Group,https://www.crunchbase.com/organization/pm-realty-group-2,501-1000,High,Active,Private,"Houston, Texas, United States",Real Estate,PM Realty Group is a real estate company.,"521,796",,"495,663"
TG Energy Industrial Services,https://www.crunchbase.com/organization/tg-energy-industrial-services,101-250,High,Active,Private,"Houston, Texas, United States","Construction, Electrical Distribution, Mechanical Engineering","TG Energy Industrial Services offers civil construction, piping, mechanical and electrical engineering services for petrochemical sectors.","522,959",,"496,839"
Turnco,https://www.crunchbase.com/organization/turnco,101-250,High,Active,Private,"Houston, Texas, United States","Energy, Oil and Gas",Provides Non-Destructive Testing to the Oil and Gas Industry. ,"523,858",,"497,708"
Gulf Interstate Engineering,https://www.crunchbase.com/organization/gulf-interstate-engineering-2,1001-5000,High,Active,Private,"Houston, Texas, United States","Energy, Manufacturing",Gulf Interstate Engineering is a oil and engineering company.,"525,791",,"499,526"
EAVX,https://www.crunchbase.com/organization/eavx,1001-5000,High,Active,Private,"Houston, Texas, United States","Electric Vehicle, Manufacturing, Product Design",EAVX is a designer and manufacturer of commercial vehicles.,"525,794",,"499,530"
"Nailor Industries, Inc.",https://www.crunchbase.com/organization/nailor-industries-inc,251-500,High,Active,Private,"Houston, Texas, United States","Building Material, Heating, Ventilation, and Air Conditioning (HVAC), Manufacturing, Real Estate",Nailor Industries is a building materials company offering commercial HVAC and industrial HVAC products.,"526,465",,"500,237"
St. Joseph Medical Center,https://www.crunchbase.com/organization/st-joseph-medical-center-2,501-1000,High,Active,Private,"Houston, Texas, United States","Emergency Medicine, Health Care, Hospital, Medical, Oncology","St. Joseph Medical Center is a Medical Center which offers a range of health services, including emergency care, cancer care","531,476",,"505,010"
Mosaic Residential,https://www.crunchbase.com/organization/mosaic-residential,101-250,High,Active,Private,"Houston, Texas, United States","Property Management, Real Estate, Real Estate Investment, Risk Management","Mosaic Residential is a real estate firm that provides real estate investment, renovation, risk and property management services.","532,546",,"506,094"
Nexus Health Systems,https://www.crunchbase.com/organization/nexus-health-systems,501-1000,High,Active,Private,"Houston, Texas, United States","Health Care, Health Diagnostics, Wellness","Nexus Health Systems is a healthcare firm that offers brain injury care, rehabilitation, radiology, health and wellness solutions.","532,731",,"506,273"
Medical Research Consultants,https://www.crunchbase.com/organization/medical-research-consultants,101-250,High,Active,Private,"Houston, Texas, United States","Consulting, Health Care, Legal, Medical, Service Industry",Medical Research Consultants provides litigation services.,"532,868",,"506,404"
Novetus Engineering,https://www.crunchbase.com/organization/novetus-engineering,101-250,High,Active,Private,"Houston, Texas, United States","CAD, Electronic Design Automation (EDA), Mechanical Engineering, Project Management, Risk Management","Novetus Engineering offers services in project engineering, engineering design, safety management, process & structural engineering support.","533,801",,"507,310"
AmeriTech Staffing,https://www.crunchbase.com/organization/ameritech-staffing,251-500,High,Active,Private,"Houston, Texas, United States","Employment, Human Resources, Professional Services, Recruiting, Staffing Agency",AmeriTech Staffing makes it a priority to understand the hiring needs of its clients and to find them the best candidates.,"535,009",,"508,479"
Bobcat of Houston,https://www.crunchbase.com/organization/bobcat-of-houston,501-1000,High,Active,Private,"Houston, Texas, United States","Automotive, Construction, Direct Sales, Sales, Transportation",Bobcat of Houston is a seller of new and used compact construction equipment specializing in Bobcat machinery sales and financing.,"535,681",,"509,071"
"SpectraCell Laboratories, Inc.",https://www.crunchbase.com/organization/spectracell-laboratories-inc,101-250,High,Active,Private,"Houston, Texas, United States","Health Care, Medical",SpectraCell Laboratories is a hospital & health care company specializing in nutritional and hormonal testing services.,"535,785",,"509,175"
Neighbors Emergency Centers,https://www.crunchbase.com/organization/neighbors-emergency-centers,251-500,High,Active,Private,"Houston, Texas, United States","Health Care, Hospital","High quality medical treatment at a moment’s notice, Neighbors Emergency Center will meet your needs.","538,404",,"511,754"
Aviva Wholesale,https://www.crunchbase.com/organization/aviva-wholesale,101-250,High,Active,Private,"Houston, Texas, United States","Apparel, Manufacturing, Textiles, Wholesale","Aviva Wholesale manufactures and sells a wide range of garments, heat transfer vinyl, equipment and accessories for the apparel business.","541,153",,"514,359"
Houston ENT & Allergy,https://www.crunchbase.com/organization/houston-ent-allergy,101-250,High,Active,Private,"Houston, Texas, United States","Cosmetic Surgery, Health Care, Medical","Houston ENT & Allergy offers expertise in ENT, allergy, balloon sinuplasty, hearing, and facial plastic surgery services to treat patients.","541,325",,"514,572"
J. Alexander s Restaurants,https://www.crunchbase.com/organization/j-alexander-s-restaurants,1001-5000,High,Active,Private,"Houston, Texas, United States",Recipes,J. Alexander's Restaurants,"541,359",,"514,606"
Action Gypsum Supply,https://www.crunchbase.com/organization/action-gypsum-supply,101-250,High,Active,Private,"Houston, Texas, United States","Building Material, Manufacturing, Sales",Gypsum Action is a supplier of building materials.,"541,992",,"515,212"
FBC Group of companies,https://www.crunchbase.com/organization/fbc-group-of-companies,501-1000,High,Active,Private,"Houston, Texas, United States",Management Consulting,"FBC is involved in a diverse array of business interests that span energy, food, and real estate.","544,499",,"517,585"
Property One,https://www.crunchbase.com/organization/property-one,101-250,High,Active,Private,"Houston, Texas, United States","Property Development, Property Management, Real Estate",Property One is a real estate firm that specializes in property management and leasing services.,"544,677",,"517,818"
Technical Staffing Resources,https://www.crunchbase.com/organization/technical-staffing-resources,501-1000,High,Active,Private,"Houston, Texas, United States","Consulting, Human Resources, Information Technology",Technical Staffing Resources is a staffing and recruiting company that offers staffing and management services.,"545,431",,"518,541"
Questia Media,https://www.crunchbase.com/organization/questia-media,101-250,High,Active,Private,"Houston, Texas, United States","E-Learning, EdTech, Education","Questia Media offers copyrighted information and educational resources students, instructors, hobbyists, enthusiasts, and lifelong learners.","548,186",,"521,147"
Continental Technology Solutions,https://www.crunchbase.com/organization/continental-technology-solutions,251-500,High,Active,Private,"Houston, Texas, United States","Apps, Business Intelligence, Enterprise Resource Planning (ERP), Software, Staffing Agency","Continental Technology Solutions specializes in application development, QA and testing, ERP, business intelligence and staffing services.","549,062",,"522,063"
House of Power Electric,https://www.crunchbase.com/organization/house-of-power-electric,101-250,High,Active,Private,"Houston, Texas, United States","Audio, Construction, Electronics, Residential",House of Power Electric functions as an electrical contracting that provides services in custom audio and video packages etc.,"549,905",,"522,816"
Holly Hall,https://www.crunchbase.com/organization/holly-hall-8d5d,101-250,High,Active,Private,"Houston, Texas, United States","Assisted Living, Elderly, Health Care, Nursing and Residential Care","Holly Hall provides independent living, assisted living, short-term rehabilitation, long-term nursing care and health care services.","550,464",,"523,361"
"EV Energy Partners, L.P.(Harvest oil & gas)",https://www.crunchbase.com/organization/ev-energy-partners-l-p-harvest-oil-gas,501-1000,High,Active,Private,"Houston, Texas, United States","Energy, Mineral, Mining, Oil and Gas",EV Energy Partners is an oil and gas company that deals in the mining and drilling of oil & gas.,"550,824",,"523,708"
Precision Additives,https://www.crunchbase.com/organization/precision-additives,101-250,High,Active,Private,"Houston, Texas, United States","Quality Assurance, Supply Chain Management","Precision Additives provides completion fluids along with stimulation, drilling, fluids management, and quality control services.","552,349",,"525,184"
"Harper & Pearson Company, P.C.",https://www.crunchbase.com/organization/harper-pearson-company-p-c,101-250,High,Active,Private,"Houston, Texas, United States",Consulting,"Harper & Pearson Company, P.C. is an accounting firm operating in Texas.","553,621",,"526,473"
"U.S. Pipeline, Inc.",https://www.crunchbase.com/organization/u-s-pipeline-inc,501-1000,High,Active,Private,"Houston, Texas, United States","Energy, Renewable Energy",U.S. Pipeline is an oil & energy company that provides transmission pipeline construction services.,"554,394",,"527,229"
Texas Steel Conversion,https://www.crunchbase.com/organization/texas-steel-conversion,101-250,High,Active,Private,"Houston, Texas, United States","Commercial, Industrial, Manufacturing",Texas Steel Conversion is a global leader in the manufacturing of drill pipe and pup joints and the processing of API casing and tubing.,"554,856",,"527,601"
Gardner Denver Water Jetting Systems,https://www.crunchbase.com/organization/gardner-denver-water-jetting-systems,251-500,High,Active,Private,"Houston, Texas, United States","Energy, Industrial, Manufacturing, Water",Gardner Denver Water Jetting Systems is an oil and gas company that provides service and support for water jetting pumps and units.,"555,579",,"528,378"
Biehl,https://www.crunchbase.com/organization/biehl,101-250,High,Active,Private,"Houston, Texas, United States","Marine Technology, Risk Management, Security","Biehl provides risk management, security, telecommunication and insurance services.","556,065",,"528,853"
Diamond McCarthy,https://www.crunchbase.com/organization/diamond-mccarthy,101-250,High,Active,Private,"Houston, Texas, United States","Law Enforcement, Legal, Professional Services","Diamond McCarthy is a legal firm that handles complex and high stake business litigation, commercial disputes and class actions.","556,807",,"529,496"
TMD Staffing,https://www.crunchbase.com/organization/tmd-staffing,101-250,High,Active,Private,"Houston, Texas, United States","Recruiting, Service Industry, Staffing Agency",TMD Staffing is a staffing agency.,"557,111",,"529,786"
Texas Real Estate & Co,https://www.crunchbase.com/organization/texas-real-estate-co,101-250,High,Active,Private,"Houston, Texas, United States","Commercial, Leasing, Real Estate, Rental, Residential, Sales",Texas Real Estate & Co is a real estate firm.,"557,183",,"529,857"
Superbag,https://www.crunchbase.com/organization/superbag-573f,101-250,High,Active,Private,"Houston, Texas, United States","Environmental Consulting, Recycling","Superbag provides environmental responsibility, convenience for retailers, quality, value, stability, and service.","558,165",,"530,885"
Amigos Meat,https://www.crunchbase.com/organization/amigos-meat,101-250,High,Active,Private,"Houston, Texas, United States","Delivery Service, Food and Beverage, Meat and Poultry, Wholesale","Amigos Meat is a distributor of pork, chicken, goat, and fish products.","559,070",,"531,694"
SafeWay Driving,https://www.crunchbase.com/organization/safeway-driving,251-500,High,Active,Private,"Houston, Texas, United States","Customer Service, Diving, Education, Training",SafeWay Driving is the driver training industry.,"559,892",,"532,488"
AmeriMex Motor & Controls,https://www.crunchbase.com/organization/amerimex-motor-controls,101-250,High,Active,Private,"Houston, Texas, United States",Manufacturing,AmeriMex Motor & Controls is a manufacturer of electrical components.,"560,428",,"533,005"
Southern Newspapers,https://www.crunchbase.com/organization/southern-newspapers,501-1000,High,Active,Private,"Houston, Texas, United States","News, Publishing, Social News","Southern Newspapers is a newspaper publishing company that offers community news, entertainment and information.","561,182",,"533,794"
Osha Bergman Watanabe & Burton LLP,https://www.crunchbase.com/organization/osha-liang-llp,101-250,High,Active,Private,"Houston, Texas, United States","Consulting, Legal",Osha Bergman Watanabe & Burton LLP is a full-service intellectual property law firm with offices across the world.,"562,830",,"535,325"
FW Walton,https://www.crunchbase.com/organization/fw-walton,101-250,High,Active,Private,"Houston, Texas, United States","Building Maintenance, Professional Services, Water","FW Walton offers water roofing, waterproofing, maintenance and services.","563,413",,"535,888"
Register Tapes Unlimited,https://www.crunchbase.com/organization/register-tapes-unlimited,501-1000,High,Active,Private,"Houston, Texas, United States","Advertising, Marketing",Register Tapes Unlimited is a marketing and advertising company that offers register tape advertising.,"563,501",,"535,976"
Johnson Supply,https://www.crunchbase.com/organization/johnson-supply,251-500,High,Active,Private,"Houston, Texas, United States","E-Commerce, Electrical Distribution, Wholesale",Johnson Supply is a wholesale distributor and representative of a variety of heating and air-conditioning equipment and accessories online.,"564,299",,"536,758"
Born Industrial,https://www.crunchbase.com/organization/born-industrial,101-250,High,Active,Private,"Houston, Texas, United States","Industrial, Logistics, Oil and Gas, Warehousing","Born Industrial offers logistics & safety, workforce transportation, and soft craft services to the industrial domain.","565,543",,"537,957"
Mediware Software,https://www.crunchbase.com/organization/mediware-software,101-250,High,Active,Private,"Houston, Texas, United States","Health Care, Information Services, Information Technology, Medical, Robotics, Software",Specializing in automation of the various functions performed in the health care provider organizations.,"565,603",,"538,080"
EnviroCon Systems,https://www.crunchbase.com/organization/envirocon-systems,101-250,High,Active,Private,"Houston, Texas, United States","Consulting, Industrial, Manufacturing, Training","EnviroCon Systems is a manufacturer that provides geosynthetic liners installation, welding fabrication and delivery services.","565,852",,"538,323"
"Gregg & Valby, LLP",https://www.crunchbase.com/organization/gregg-valby-llp,101-250,High,Active,Private,"Houston, Texas, United States","Consulting, Legal",Gregg & Valby is a legal services company specializing in state regulatory compliance services.,"566,376",,"538,757"
Holloman,https://www.crunchbase.com/organization/holloman,501-1000,High,Active,Private,"Houston, Texas, United States","Civil Engineering, Construction, Project Management","Holloman is a construction company that deals with land development, project management, civil engineering, relocation and repair services.","568,322",,"540,647"
Quanta Technologies,https://www.crunchbase.com/organization/quanta-technologies-df8f,101-250,High,Active,Private,"Houston, Texas, United States","Industrial, Industrial Engineering, Oil and Gas",Quanta Technologies provides catalyst enhancement treatment and services.,"568,699",,"541,073"
Five Nine Solutions,https://www.crunchbase.com/organization/five-nine-solutions,101-250,High,Active,Private,"Houston, Texas, United States","Advertising, Brand Marketing, Customer Service, Marketing","Five Nine Solutions is an agency that offers marketing, brand development, advertising, customer acquisition, and lead mentorship services.","569,135",,"541,435"
"Seismic Exchange, Inc.",https://www.crunchbase.com/organization/seismic-exchange-inc,101-250,High,Active,Private,"Houston, Texas, United States","Energy, Marketing, Renewable Energy",Seismic Exchange is an oil & energy company specializing in seismic data marketing services.,"569,748",,"542,102"
Marinetrans,https://www.crunchbase.com/organization/marinetrans,101-250,High,Active,Private,"Houston, Texas, United States","Logistics, Manufacturing, Marine Transportation, Shipping, Supply Chain Management",Marinetrans provides supplies for vessels with ship spares and marine equipment.,"570,573",,"542,821"
House of Forgings,https://www.crunchbase.com/organization/house-of-forgings,101-250,High,Active,Private,"Houston, Texas, United States","Building Material, Construction, Manufacturing, Wholesale",House of Forgings is a distributor and manufacturer of stair components.,"571,779",,"544,065"
O'Donnell/Snider Construction,https://www.crunchbase.com/organization/o-donnell-snider-construction,101-250,High,Active,Private,"Houston, Texas, United States","Consulting, Real Estate",O'Donnell/Snider Construction is a commercial construction services firm.,"572,123",,"544,333"
Subsea Solutions,https://www.crunchbase.com/organization/subsea-solutions,101-250,High,Active,Private,"Houston, Texas, United States","CRM, Energy, Information Technology, Renewable Energy","Subsea Solutions is an oil & energy company providing Auditing, Verification, Field Support services.","574,126",,"546,269"
WindCom (Wind Composites Service Group),https://www.crunchbase.com/organization/windcom-wind-composites-service-group,101-250,High,Active,Private,"Houston, Texas, United States","Energy, Renewable Energy",WindCom is a renewables & environment company that provides maintenance and repairs on wind blades.,"574,945",,"547,132"
Behavioral Hospital of Bellaire,https://www.crunchbase.com/organization/behavioral-hospital-of-bellaire,251-500,High,Active,Private,"Houston, Texas, United States","Health Care, Hospital, Medical, Service Industry",Behavioral Hospital of Bellaire is a Health center.,"575,715",,"547,880"
F&C Engineers,https://www.crunchbase.com/organization/f-c-engineers,101-250,High,Active,Private,"Houston, Texas, United States","Construction, Mechanical Design, Mechanical Engineering, Oil and Gas, Procurement, Project Management","F&C Engineers offers project management, engineering, design, construction, and procurement services for the oil, gas, and turbo industry.","575,855",,"548,012"
The Council on Recovery,https://www.crunchbase.com/organization/the-council-on-recovery,251-500,High,Active,Private,"Houston, Texas, United States","Health Care, Non Profit, Rehabilitation, Therapeutics, Wellness","The Council on Recovery offers therapeutic counseling, treatment and recovery services for individuals addicted to alcohol and drugs.","576,537",,"548,607"
Rose Electronics,https://www.crunchbase.com/organization/rose-electronics-c3a3,101-250,High,Active,Private,"Houston, Texas, United States","Electronics, Retail","Rose Electronics offers KVM switches, USB extenders, video wall controllers, and video splitters applicable in multi-platform servers.","578,255",,"550,332"
Precision Task Group,https://www.crunchbase.com/organization/ptg,101-250,High,Active,Private,"Houston, Texas, United States","Information Services, Information Technology","Precision Task Group, Inc. (PTG) has provided clients with cost-effective solutions for the management and processing of information.","578,671",,"550,666"
Vista Host,https://www.crunchbase.com/organization/vista-host,101-250,High,Active,Private,"Houston, Texas, United States","Hospitality, Hotel",Vista Host is a hotel management company.,"579,606",,"551,640"
Jackson Supply Company,https://www.crunchbase.com/organization/jackson-supply-company,101-250,High,Active,Private,"Houston, Texas, United States","Electrical Distribution, Electronics, Heating, Ventilation, and Air Conditioning (HVAC), Manufacturing, Wholesale","Jackson Supply Company is a wholesale company that distributes HVAC products including equipment, accessories, parts, and tools.","580,466",,"552,478"
Juno Research,https://www.crunchbase.com/organization/juno-research,101-250,High,Active,Private,"Houston, Texas, United States","Clinical Trials, Health Care, Medical, Pharmaceutical","Juno Research delivers clinical trials and reasearch services in the areas of cardiology, endocrinology, plumonary and patient services.","581,200",,"553,196"
Star of Hope,https://www.crunchbase.com/organization/star-of-hope,251-500,High,Active,Private,"Houston, Texas, United States","Men's, Non Profit, Social","Star of Hope provides structured programs on employment, life management and recovery for homeless men, women and their children.","582,755",,"554,706"
"Value Global, LLC.",https://www.crunchbase.com/organization/value-global-llc,101-250,High,Active,Private,"Houston, Texas, United States","Information Services, Information Technology, Software",Value Global is a global business technology partner that provides high value software life cycle solutions to our clients.,"583,897",,"555,809"
Leaf Engineers,https://www.crunchbase.com/organization/leaf-engineers,101-250,High,Active,Private,"Houston, Texas, United States","Industrial Manufacturing, Machinery Manufacturing, Manufacturing, Mechanical Engineering, Sustainability","Leaf Engineers provides protective engineering design for mechanical, electrical, and plumbing systems and security consultancy.","584,067",,"555,970"
Whirlwind Steel Buildings,https://www.crunchbase.com/organization/whirlwind-steel-buildings,501-1000,High,Active,Private,"Houston, Texas, United States",Manufacturing,Whirlwind Steel Buildings is a manufacturer of commercial and industrial pre-engineered metal buildings.,"584,617",,"556,502"
Xclusive Trading,https://www.crunchbase.com/organization/xclusive-trading,251-500,High,Active,Private,"Houston, Texas, United States","Electronics, Telecommunications, Wireless",Xclusive Trading is a group of wireless management specialists committed to sound investment.,"585,975",,"557,748"
Melton Electrical and Structured Cabling,https://www.crunchbase.com/organization/melton-electrical-and-structured-cabling,101-250,High,Active,Private,"Houston, Texas, United States","Construction, Electronics","Melton Electrical has contracting expertise and is a second-gen, family-owned firm that strives to attract, inspire, and retain employees.","586,636",,"558,457"
EDC Moving Systems/ Atlas Van Lines,https://www.crunchbase.com/organization/edc-moving-systems-atlas-van-lines,101-250,High,Active,Private,"Houston, Texas, United States","Automotive, Information Technology, Logistics","EDC Moving Systems is a consumer services company specializing in chain distribution, moving, and storage services.","586,749",,"558,500"
Norse Cutting & Abandonment,https://www.crunchbase.com/organization/norse-cutting-abandonment,501-1000,High,Active,Private,"Houston, Texas, United States","Energy, Natural Resources, Oil and Gas",Norse Cutting & Abandonment provides oilfield services to the offshore oil and gas industry in Norway and internationally.,"587,320",,"559,052"
Gowan/Garrett,https://www.crunchbase.com/organization/gowan-garrett,501-1000,High,Active,Private,"Houston, Texas, United States","Construction, Facility Management, Mechanical Engineering",Gowan/Garrett is a single source provider in the construction and mechanical sector.,"588,129",,"559,839"
Louis Capital Markets,https://www.crunchbase.com/organization/louis-capital-markets,251-500,High,Active,Private,"Houston, Texas, United States","Banking, Financial Services, Insurance, Venture Capital","Louis Capital Markets is a financial services company providing execution, value-added sales, trading, and research services.","588,847",,"560,533"
Athens Group,https://www.crunchbase.com/organization/athens-group,101-250,High,Active,Private,"Houston, Texas, United States","Energy, Renewable Energy","Athens Group is an oil & energy company that offers marine, subsea, and drilling systems.","588,953",,"560,702"
Amphora,https://www.crunchbase.com/organization/amphora-dfef,101-250,High,Active,Private,"Houston, Texas, United States","Information Technology, Risk Management, Software","Amphora provides enterprise software solutions designed and developed by software designers, developers, commodity trading, risk management.","590,604",,"562,303"
Prince Food Systems,https://www.crunchbase.com/organization/prince-food-systems,251-500,High,Active,Private,"Houston, Texas, United States","Food and Beverage, Food Delivery, Food Processing, Health Care","Prince Food Systems is a food service company that offers food services management for health care, schools, and corporates.","591,857",,"563,522"
Icon Information Consultants,https://www.crunchbase.com/organization/icon-information-consultants,1001-5000,High,Active,Private,"Houston, Texas, United States","Consulting, Recruiting, Staffing Agency",Icon Information Consultants specializes in recruiting highly qualified professionals​ at all levels and skills.,"592,197",,"563,849"
Texas Sterling Construction Co.,https://www.crunchbase.com/organization/texas-sterling-construction-co,1001-5000,High,Active,Private,"Houston, Texas, United States",Construction,"Texas Sterling Construction Co. is a heavy civil, highway and municipal construction company.","592,925",,"564,556"
VAM,https://www.crunchbase.com/organization/vam-e99c,251-500,High,Active,Private,"Houston, Texas, United States","Manufacturing, Oil and Gas, Product Design, Supply Chain Management",VAM is a supplier of threaded connections for the oil and gas industry.,"593,563",,"565,179"
"ACT Pipe & Supply, Inc.",https://www.crunchbase.com/organization/act-pipe-supply-inc,251-500,High,Active,Private,"Houston, Texas, United States",Manufacturing,ACT Pipe & Supply is a wholesale company specializing in fire protection products.,"593,833",,"565,366"
"SelecTransportation Resources, LLC & Subsidiaries",https://www.crunchbase.com/organization/selectransportation-resources-llc-subsidiaries,251-500,High,Active,Private,"Houston, Texas, United States",Transportation,SelecTransportation Resources & Subsidiaries is a transportation company offering heavy and medium duty trucks.,"596,678",,"568,197"
Theatre Under The Stars,https://www.crunchbase.com/organization/theatre-under-the-stars,101-250,High,Active,Private,"Houston, Texas, United States","Music, Performing Arts","Theatre Under The Stars, Houston’s nonprofit home for musical theatre, is dedicated to enriching lives through innovative musical theatre.","597,028",,"568,531"
RoundTable Medical Consultants,https://www.crunchbase.com/organization/roundtable-medical-consultants,101-250,High,Active,Private,"Houston, Texas, United States","Advice, Billing, Financial Services, Health Care, Management Consulting","RoundTable Medical Consultants provides comprehensive medical billing management, insurance verification, and advance collection services.","597,342",,"568,834"
Extreme Technologies,https://www.crunchbase.com/organization/extreme-technologies,251-500,High,Active,Private,"Houston, Texas, United States",Enterprise Software,Extreme Technologies is a job placement firm that look to recruit top talent for businesses.,"597,517",,"568,943"
CSNA,https://www.crunchbase.com/organization/csna,101-250,High,Active,Private,"Houston, Texas, United States","Building Maintenance, Heating, Ventilation, and Air Conditioning (HVAC), Home Services, Service Industry","CSNA provides self-performing professional facility services for HVAC, electrical, plumbing, mechanical and cleaning needs.","601,636",,"572,928"
PSR Brands,https://www.crunchbase.com/organization/psr-brands,101-250,High,Active,Private,"Houston, Texas, United States","Dietary Supplements, Food and Beverage","PSR Brands specializes in testing, researching, and developing dietary supplements, beverages, and sports nutrition products.","602,182",,"573,529"
Estafeta USA,https://www.crunchbase.com/organization/estafeta-usa,1001-5000,High,Active,Private,"Houston, Texas, United States","Freight Service, Logistics, Supply Chain Management, Transportation","Estafeta USA is a transportation company that offers logistics, supply chain management, warehousing, and freight Services.","602,387",,"573,660"
Appraisal MC,https://www.crunchbase.com/organization/appraisal-mc,101-250,High,Active,Private,"Houston, Texas, United States","Commercial Real Estate, Landscaping, Property Management, Residential",Appraisal MC is a real estate management firm.,"602,487",,"573,826"
TAFT Broadcasting,https://www.crunchbase.com/organization/taft-broadcasting,101-250,High,Active,Private,"Houston, Texas, United States","Broadcasting, Cloud Computing, Database, Graphic Design, Satellite Communication, Virtualization, Web Design",Taft Broadcasting Company offers technical and support services to the broadcasting industry.,"603,932",,"575,164"
TTI Oil,https://www.crunchbase.com/organization/tti-oil,101-250,High,Active,Private,"Houston, Texas, United States","Electronics, Industrial Automation, Manufacturing, Oil and Gas","TTI Oil offers custom fabrication, automation, electrical control systems, and trained staff for manufacturing and design assistance.","605,601",,"576,850"
Gateway Logistics Group,https://www.crunchbase.com/organization/gateway-logistics-group,101-250,High,Active,Private,"Houston, Texas, United States","Logistics, Supply Chain Management, Transportation",Gateway Logistics Group provides a comprehensive range of global logistics services for a variety of industries.,"605,773",,"577,019"
Davis Chevrolet,https://www.crunchbase.com/organization/davis-chevrolet,251-500,High,Active,Private,"Houston, Texas, United States",,Davis Chevrolet is a car dealership specializing in Chevrolet vehicles in Houston TX.,"606,042",,"577,211"
American Shooting Centers,https://www.crunchbase.com/organization/american-shooting-centers,251-500,High,Active,Private,"Houston, Texas, United States",Sports,American Shooting Centers has been a recreational shooter’s paradise since 1989.,"606,506",,"577,737"
Alexande/ Ryan Marine & Safety,https://www.crunchbase.com/organization/alexander-ryan-marine-safety-llc-a-division-of-drew-marine,101-250,High,Active,Private,"Houston, Texas, United States","Consumer Goods, Cyber Security, Marine Technology, Security","Alexander/Ryan Marine & Safety is a manufacturer, distributor and safety certification provider for the Offshore and Marine industries.","607,182",,"578,393"
Gulf Coast Crating,https://www.crunchbase.com/organization/gulf-coast-crating,101-250,High,Active,Private,"Houston, Texas, United States","Packaging Services, Plastics and Rubber Manufacturing",Gulf Coast Crating is a crating company that offer a full line of packing and crating services to accommodate all of crating needs. ,"608,942",,"580,037"
"DBR Engineering Consultants, Inc.",https://www.crunchbase.com/organization/dbr-engineering-consultants-inc,101-250,High,Active,Private,"Houston, Texas, United States","Consulting, Consumer Electronics, Electronics","DBR Engineering Consultants is an engineering company providing mechanical, electrical, and plumbing services.","609,367",,"580,521"
TWR Lighting,https://www.crunchbase.com/organization/twr-lighting,101-250,High,Active,Private,"Houston, Texas, United States","Electronics, Manufacturing",TWR Lighting is a worldwide leader in specialized hazard lighting and aviation obstruction lighting products and services.,"610,942",,"582,033"
TAG Electric,https://www.crunchbase.com/organization/tag-electric,101-250,High,Active,Private,"Houston, Texas, United States","Commercial, Construction, Electronics, Residential",TAG Electric is a construction firm that provides electrical repair and installation services for commercial and industrial sectors.,"611,697",,"582,724"
Law Office of Bryan Fagan PLLC,https://www.crunchbase.com/organization/law-office-of-bryan-fagan,101-250,High,Active,Private,"Houston, Texas, United States",Legal,"The Law Office of Bryan Fagan is a Divorce and family law practice in Spring, Texas","611,870",,"582,932"
Chung's Foods,https://www.crunchbase.com/organization/chung-s-foods,501-1000,High,Active,Private,"Houston, Texas, United States","Food Processing, Manufacturing",Chung's Foods manufactures and sells egg rolls and Asian entrees.,"612,860",,"583,838"
VC5 Partners,https://www.crunchbase.com/organization/vc5-partners,251-500,High,Active,Private,"Houston, Texas, United States","Financial Services, Impact Investing, Lending, Venture Capital","VC5 Partners provides investment management, venture capital and funding services to businesses.","613,804",,"584,820"
Pilgrim Cleaners,https://www.crunchbase.com/organization/pilgrim-cleaners,251-500,High,Active,Private,"Houston, Texas, United States","Customer Service, Laundry and Dry-cleaning, Service Industry","Pilgrim Cleaners offers home pickup and delivery services for personalized laundry, tailoring, fabric cleaning and mold restoration.","614,606",,"585,598"
The Unicist Research Institute,https://www.crunchbase.com/organization/the-unicist-research-institute,101-250,High,Active,Private,"Houston, Texas, United States","Life Science, Social","The Unicist Research Institute is a global research organisation that comprises of business arm, academic arm, and intelligent systems unit.","615,361",,"586,336"
Coast To Coast Motors,https://www.crunchbase.com/organization/coast-to-coast-motors,101-250,High,Active,Private,"Houston, Texas, United States","Finance, Financial Services, Internet",Coast To Coast Motors is specializing in providing auto loans and leases for bad or challenged credit customers.,"616,074",,"587,027"
