ok Organization Name,Organization Name URL,Founded Date,Founded Date Precision,Headquarters Location,Company Type,Operating Status,Industries,Description,CB Rank (Organization),Stage,CB Rank (Company)
Cyberknight,https://www.crunchbase.com/organization/cyberknight-inc,2023-09-08,day,"Boston, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Biotechnology, Cyber Security, Information Technology, Machine Learning, Nanotechnology, Quantum Computing, Robotics, Software","A company at the forefront of innovation in AI, Biotechnology, Cybersecurity, IT, Nanotechnology, Quantum Computing and Robotics.","91,980",,"85,804"
Invisible Hand,https://www.crunchbase.com/organization/invisible-hand,2024-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Information Technology, Market Research",Invisible Hand is an AI technology that empowers the world's top food merchants with the help of realtime analytics.,"92,087",,"85,906"
NextUI,https://www.crunchbase.com/organization/nextui,2023-09-28,day,"Boston, Massachusetts, United States",For Profit,Active,"Information Technology, Open Source, Software, Web Development",Make beautiful websites regardless of your design experience - Open Source React UI Library,"93,136",,"86,906"
Handcraft Entertainment,https://www.crunchbase.com/organization/handcraft-entertainment,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Audio Recording and Production, Media and Entertainment, Music Label","Handcraft Entertainment is a record label, artist management, production and publishing company.","95,409",,"89,096"
NeuroLambda Therapeutics,https://www.crunchbase.com/organization/neurolambda-therapeutics,2023-01-01,year,"Cambridge, Massachusetts, United States",For Profit,Active,,NeuroLambda Therapeutics is a company.,"97,271",,"90,871"
Boost Robotics,https://www.crunchbase.com/organization/boost-robotics,2025-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Infrastructure, Robotics",Boost Robotics builds autonomous mobile robots that perform manual tasks in data centers.,"100,928",,"94,383"
Osgil,https://www.crunchbase.com/organization/osgil,2024-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Developer Tools, Financial Services",Trustworthiness & Explainability Tools For AI Systems,"102,425",,"95,817"
Nine Diagnostics,https://www.crunchbase.com/organization/nine-diagnostics,2024-03-08,day,"Cambridge, Massachusetts, United States",For Profit,Active,"Health Care, Health Diagnostics, Medical, Medical Device, Oncology, Precision Medicine",Functional Precision Medicine by Design. A faster path to the most effective treatment.,"102,753",,"96,139"
Arches Medical Partners,https://www.crunchbase.com/organization/arches-medical-partners,2023-01-01,year,"Cambridge, Massachusetts, United States",For Profit,Active,"Health Care, Home Health Care, Primary and Urgent Care",Arches Medical Partners is a physician-owned medical platform delivering support to independent primary care practices.,"103,187",,"96,557"
Laminr,https://www.crunchbase.com/organization/laminr,2024-10-01,day,"Boston, Massachusetts, United States",For Profit,Active,"Aerospace, Space Travel",Laminr is an aerospace company that designs and manufactures altitude-adaptive dynamic rocket engine nozzles for efficient propulsion.,"104,481",,"97,799"
Adaptive Reader,https://www.crunchbase.com/organization/adaptive-reader,2023-01-01,year,"Cambridge, Massachusetts, United States",For Profit,Active,"EdTech, Education",Adaptive Reader is a company that expands educational opportunities by translating books into many languages and reading levels.,"106,095",,"99,342"
ImprezzAI,https://www.crunchbase.com/organization/imprezzai,2023-01-01,day,"Boston, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Digital Marketing, Software","ImprezzAI offers AI-driven programmatic ad tools that optimize campaigns with analytics, alerts, and smarter ad spend management.","111,182",,"104,225"
Elevate Youth Development,https://www.crunchbase.com/organization/elevate-youth-development,2024-01-01,year,"Cambridge, Massachusetts, United States",For Profit,Active,"Personal Development, Recreation, Sports","Elevate Youth Development offers a range of activities, including physical development, life skills training, and mentoring opportunities.","112,468",,"105,454"
Symbionics,https://www.crunchbase.com/organization/symbionics,2023-01-01,year,"Cambridge, Massachusetts, United States",For Profit,Active,"Communications Infrastructure, Human Computer Interaction, Neuroscience",Symbionics is a brain-computer interface company that focuses on the development of interface devices to integrate humans and machines.,"115,816",,"108,674"
Everlong,https://www.crunchbase.com/organization/everlong,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Health Care, Personal Health",Everlong helps people recover control over their health and nutrition by giving access to personalised care.,"119,228",,"111,939"
Shape Biopharmaceuticals,https://www.crunchbase.com/organization/shape-biopharmaceuticals,2023-01-01,year,"Cambridge, Massachusetts, United States",For Profit,Active,"Biopharma, Health Care, Pharmaceutical",Shape Biopharmaceuticals builds innovative healthcare solutions.,"123,192",,"115,731"
Elevate,https://www.crunchbase.com/organization/elevate-workforce-5287,2024-01-01,month,"Boston, Massachusetts, United States",For Profit,Active,"Construction, Staffing Agency, Virtual Workforce","Elevate is a platform for finding, hiring, and managing professionals across industries.","126,141",,"118,574"
E9 Genomics,https://www.crunchbase.com/organization/e9-genomics,2023-01-01,year,"Cambridge, Massachusetts, United States",For Profit,Active,"Biotechnology, Database, Health Care, Test and Measurement",E9 Genomics provides computational genomics technologies for scientists and clinicians.,"127,211",,"119,607"
Sharp Selections,https://www.crunchbase.com/organization/sharp-selections,2024-04-26,day,"Boston, Massachusetts, United States",For Profit,Active,,Sharp Selections is a data visualization and a sports-focused AI agent for the everyday sports prediction gamer.,"133,266",,"125,462"
Arena BioWorks,https://www.crunchbase.com/organization/arena-bioworks,2023-01-01,year,"Cambridge, Massachusetts, United States",For Profit,Active,Biotechnology,Arena BioWorks is a biomedical research institute.,"133,271",,"125,466"
r4,https://www.crunchbase.com/organization/r4-a133,2024-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Consulting, Information Technology, Software","r4 is a modern web application, It is designed to be used by developers, project managers, and executives.","133,480",,"125,669"
MorphoAI,https://www.crunchbase.com/organization/morphoai,2024-01-01,year,"Cambridge, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Manufacturing, Robotics, Software","MorphoAI is a software tool that allows users to design, generate and identify robots and machines.","133,494",,"125,683"
Diligently AI,https://www.crunchbase.com/organization/diligently-ai,2023-01-01,year,"Cambridge, Massachusetts, United States",For Profit,Active,"Marketing, SaaS, Sales, Software",Diligently AI helps SaaS teams pick the right leads and track how their AI systems are performing.,"135,791",,"127,875"
Homescore AI,https://www.crunchbase.com/organization/homescore-ai,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Generative AI, Real Estate",A report card for your home. Buy your home with confidence,"137,731",,"129,745"
Workplay,https://www.crunchbase.com/organization/workplay-6dc1,2024-01-01,day,"Boston, Massachusetts, United States",For Profit,Active,"Finance, Financial Services, FinTech, Personal Finance","Workplay is a personal finance app that helps users budget, track goals, negotiate bills, and manage subscriptions.","140,849",,"132,740"
Absentia Labs,https://www.crunchbase.com/organization/absentia-labs,2024-11-19,day,"Boston, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Biotechnology, Intelligent Systems, Life Science",We are building a new pipeline to discovery and test drugs,"143,976",,"135,756"
Blaze Power,https://www.crunchbase.com/organization/blaze-power,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Battery, Manufacturing, Renewable Energy",Blaze Power is a lithium-ion battery material manufacturing company that innovates and commercializes iron-based cathode materials.,"144,134",,"135,910"
LoopHealth,https://www.crunchbase.com/organization/loophealth,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Health Care, Hospital",LoopHealth is a healthcare center.,"150,759",,"142,295"
Forma Systems,https://www.crunchbase.com/organization/forma-systems,2023-01-01,year,"Cambridge, Massachusetts, United States",For Profit,Active,Civil Engineering,Forma Systems is a design and technology studio focused on expanding access to high-quality.,"151,254",,"142,770"
Drinkun,https://www.crunchbase.com/organization/drinkun,2023-03-01,month,"Boston, Massachusetts, United States",For Profit,Active,"E-Commerce, Food and Beverage, Marketplace, Same Day Delivery, Wine And Spirits","Drinkun: Instant, fee-free booze delivery. Your favorite drinks, fast and easy!","153,021",,"144,467"
Boston Innovations Corporation,https://www.crunchbase.com/organization/boston-innovations-corporation,2023-10-28,day,"Boston, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Biotechnology, Life Science, Pharmaceutical",Biotech and Pharmaceutical Company,"153,686",,"145,112"
Bramante Biologics,https://www.crunchbase.com/organization/bramante-biologics,2024-01-01,year,"Cambridge, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Biotechnology, Manufacturing",Bramante Biologics is a biotechnology research company that manufactures AI-powered protein.,"154,839",,"146,229"
Renaissance AI,https://www.crunchbase.com/organization/renaissance-ai,2023-01-01,day,"Boston, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Developer Tools, Information Technology, Software","Renaissance AI is a software firm in stealth mode, offering business productivity platform for unify and democratize engineering design.","158,390",,"149,653"
RenaBio Therapeutics,https://www.crunchbase.com/organization/renabio-therapeutics,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Biotechnology, Health Care, Wellness",RenaBio Therapeutics is a company that offers healthcare services.,"158,631",,"149,887"
Consulting Jobs,https://www.crunchbase.com/organization/consulting-jobs,2023-01-01,month,"Boston, Massachusetts, United States",For Profit,Active,,"Discover the latest job opportunities from leading consulting firms, all in one place.","159,512",,"150,742"
ktsnam,https://www.crunchbase.com/organization/itsmyurls,2023-03-26,day,"Boston, Massachusetts, United States",For Profit,Active,"Analytics, Brand Marketing, Celebrity, iOS, Mobile, QR Codes, Social Media, Sports",PRESTIGE - DEDICATION - QUALITY,"160,102",,"151,313"
Respire Energy,https://www.crunchbase.com/organization/respire-energy,2024-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Clean Energy, Manufacturing, Renewable Energy",Respire Energy develops an innovative battery technology designed for microgrids.,"162,445",,"153,559"
ShowNxt,https://www.crunchbase.com/organization/shownxt,2025-01-01,day,"Boston, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Education, Marketplace, Media and Entertainment, Social Media, Sports",AI mobile app simplifying collegiate sports recruiting,"162,564",,"153,675"
Ferona,https://www.crunchbase.com/organization/ferona-6d9f,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Financial Services, Health Insurance, Insurance",Making health insurance more affordable for small businesses,"163,515",,"154,578"
T33 Dental,https://www.crunchbase.com/organization/t33-dental,2023-01-01,year,"Cambridge, Massachusetts, United States",For Profit,Active,"Dental, Manufacturing, Wellness",T33 Dental is a dental treatment and manufacturing firm developing medicines and cosmetics for oral health and hygine.,"164,468",,"155,497"
TitanPayAI,https://www.crunchbase.com/organization/titanpayai,2023-01-01,year,"Cambridge, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Banking, Financial Services, Payments","TitanPayAI provides an AI platform for banking and payments, focusing on process automation and real-time updates.","165,739",,"156,718"
Rehydrate,https://www.crunchbase.com/organization/rehydrate-ade3,2023-01-01,year,"Cambridge, Massachusetts, United States",For Profit,Active,"Manufacturing, Water, Water Purification",Rehydrate is a manufacturing company that develops water recycling technology and addresses global water scarcity.,"166,169",,"157,131"
Boston Community Solar Cooperative,https://www.crunchbase.com/organization/boston-community-solar-cooperative,2024-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Clean Energy, Electrical Distribution, Power Grid, Solar",Boston Community Solar Cooperative committed to breaking down the barriers to solar energy.,"172,800",,"163,495"
Enhanced Mechanical Contracting,https://www.crunchbase.com/organization/enhanced-mechanical-contracting,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Heating, Ventilation, and Air Conditioning (HVAC), Manufacturing, Mechanical Engineering",Enhanced Mechanical Contracting provides HVAC services that are tailored to the specific requirements of each site.,"173,059",,"163,749"
SCI.D,https://www.crunchbase.com/organization/sci-d,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Health Care, Medical, Therapeutics",SCI.D is a healthcare company that offers proton therapy cancer treatment facilities.,"176,024",,"166,594"
Asta Bio,https://www.crunchbase.com/organization/asta-bio,2024-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Biotechnology, Health Care, Medical, Medical Device, Therapeutics",Asta Bio is the developer of radiotherapeutics intended for cancer patients and offers technology by combining 211-Astatine.,"180,698",,"171,107"
H2 Everywhere,https://www.crunchbase.com/organization/h2-everywhere,2024-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,,"H2 Everywhere thats designs and builds modular, onsite hydrogen production units for affordable green hydrogen.","195,273",,"185,084"
Global Impact Assessment,https://www.crunchbase.com/organization/global-impact-assessment,2023-05-17,day,"Cambridge, Massachusetts, United States",For Profit,Active,"Consulting, Enterprise Resource Planning (ERP), Environmental Consulting, SaaS, Social Impact","Global Impact Assessment built an AI platform for assessing, measuring, monitoring, evaluating and forecasting impacts across industries.","206,559",,"195,869"
Greengrid,https://www.crunchbase.com/organization/greengrid,2023-04-01,month,"Boston, Massachusetts, United States",For Profit,Active,"Energy, Environmental Consulting, Renewable Energy, Software, Solar","Climate, Technology, Marketplace","216,214",,"205,104"
C10 Labs,https://www.crunchbase.com/organization/c10-labs,2023-05-11,day,"Cambridge, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Financial Services, Venture Capital",C10 Labs is a venture studio fund that specializes in reshaping the landscape of AI-first startups.,"216,224",,"205,113"
TeamStation AI,https://www.crunchbase.com/organization/framework-science,2024-03-08,day,"Boston, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Big Data, DevOps, FinTech, Mobile Apps, Quality Assurance, SaaS, Software, Software Engineering, Web Development",TeamStation AI is a Cost-effective Tech-Enabled Nearshore IT Staff Augmentation Solution built with Proprietary AI services Platform.,"218,592",,"207,373"
QuestionWell AI,https://www.crunchbase.com/organization/questionwell-ai,2023-03-07,day,"Boston, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), EdTech",QuestionWell provides AI-powered tools for efficient lesson planning and resource creation.,"220,688",,"209,371"
Sinaptica Therapeutics,https://www.crunchbase.com/organization/sinaptica-therapeutics,2023-02-01,month,"Cambridge, Massachusetts, United States",For Profit,Active,"Manufacturing, Medical Device, Therapeutics","Sinaptica Therapeutics develops neuromodulation therapies for Alzheimer's, focusing on personalized, precision electromagnetic treatment.","221,755",,"210,385"
RapidWorks,https://www.crunchbase.com/organization/rapid-applications-group,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"SaaS, Software",RapidWorks provides an ERP software solution for heavy equipment construction subcontractors.,"224,982",,"213,440"
Entyre Care,https://www.crunchbase.com/organization/entyre-care,2024-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Financial Services, Home Health Care, Training",Entyre Care supports home caregivers with financial aid and guidance.,"226,521",,"214,892"
GAI Insights,https://www.crunchbase.com/organization/ga-insights,2023-01-01,month,"Boston, Massachusetts, United States",For Profit,Active,"Analytics, Information Technology, Service Industry, Software, Web Apps",GAI Insights is an industry analyst firm helping AI Leaders and AI vendors achieve business results with GenAl.,"228,080",,"216,381"
Cyfrin,https://www.crunchbase.com/organization/cyfrin,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Blockchain, Cyber Security, Network Security, Web3",Cyfrin offers smart contract security auditing and educational resources for blockchain developers.,"230,148",,"218,324"
FlyCode,https://www.crunchbase.com/organization/flycode-097d,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), E-Commerce, FinTech, Machine Learning, Payments, Subscription Service",AI Payment Optimization Platform for Subscriptions,"237,183",,"224,909"
Thinkverse,https://www.crunchbase.com/organization/learnie-ai,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), E-Learning, EdTech, Software",Personal AI Math tutor for K12 students.,"237,824",,"225,511"
Phoenix3 Holdings,https://www.crunchbase.com/organization/infuse-hospitality-8f62,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Health Care, Hospitality",Phoenix3 Holdings is a group of boutique culinary and hospitality businesses.,"240,032",,"227,566"
Enttor,https://www.crunchbase.com/organization/enttor,2024-05-01,month,"Boston, Massachusetts, United States",For Profit,Active,,One unified software platform for enterprise marketing teams.,"241,190",,"228,665"
InFocus Therapeutics,https://www.crunchbase.com/organization/infocus-therapeutics,2024-01-01,year,"Cambridge, Massachusetts, United States",For Profit,Active,Pharmaceutical,InFocus Therapeutics enhances global treatment options through drug discovery and development for underserved patients.,"243,349",,"230,695"
Realmo,https://www.crunchbase.com/organization/realmo,2024-03-01,day,"Boston, Massachusetts, United States",For Profit,Active,Commercial Real Estate,Realmo is a Commercial Real Estate Navigator with AI-based property upside potential evaluation and assessment.,"245,060",,"232,304"
Clippable,https://www.crunchbase.com/organization/clippable,2025-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Advertising, Artificial Intelligence (AI), Computer, Information Technology, Marketing, Social Media, Social Media Marketing, Software","Clippable simplifies content distribution, empowering brands to scale their presence effortlessly.","245,762",,"232,964"
Komo Biosciences,https://www.crunchbase.com/organization/komo-biosciences,2024-01-01,year,"Cambridge, Massachusetts, United States",For Profit,Active,"Biotechnology, Genetics, Therapeutics",Komo Biosciences is a genome engineering technology company that develops gene editing technologies.,"250,539",,"237,467"
Lilac AI,https://www.crunchbase.com/organization/lilac-ai,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Information Technology, Internet",Lilac AI provides data science tools for improving the quality of data for generative AI applications and language models (LLMs).,"251,384",,"238,262"
TechConnect,https://www.crunchbase.com/organization/techconnect-57c8,2023-01-01,year,"Cambridge, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Biotechnology, Life Science, Social Entrepreneurship, Venture Capital",Venture studio that use AI and data to develop biotech and health sciences with a focus on social impact.,"252,542",,"239,342"
CartaBio,https://www.crunchbase.com/organization/cartabio,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Biotechnology, Medical, Wellness",CartaBio is an authorised spatial omics technology platform.,"256,817",,"243,355"
Magnendo,https://www.crunchbase.com/organization/magnendo,2024-01-01,year,"Cambridge, Massachusetts, United States",For Profit,Active,"Manufacturing, Medical Device, Neuroscience",Magnendo is developing robotics technology to make brain neurotherapy procedures faster and safer.,"259,021",,"245,456"
Buffr,https://www.crunchbase.com/organization/buffr-f43b,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Financial Services, Mobile Payments, Payments",Buffr offers easy payment solutions to access business or payday loans.,"260,359",,"246,708"
Anthology,https://www.crunchbase.com/organization/anthology-f72c,2023-01-01,year,"Cambridge, Massachusetts, United States",For Profit,Active,Biotechnology,Anthology is an evolution company that generates diverse genomes to scale and digitalize biomanufacturing.,"263,267",,"249,447"
Fan Pier Labs,https://www.crunchbase.com/organization/fan-pier-labs,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Big Data, Consulting, Machine Learning, Professional Services, Software, Web Development","Software Consulting Software Engineering Consulting for Machine Learning, AWS Infrastructure, and Full-Stack Web Development.","263,875",,"250,025"
Mandrel,https://www.crunchbase.com/organization/mandrel,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Analytics, Business Intelligence, Consumer Goods, Logistics, Software, Supply Chain Management",The operations data platform for consumer brands.,"266,115",,"252,133"
ComplyAI,https://www.crunchbase.com/organization/complyai,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Generative AI, Information Technology",ComplyAI improves up the building permit process by leveraging workflow automation and artificial intelligence (AI) to ensure applications.,"268,710",,"254,548"
OverseeAI,https://www.crunchbase.com/organization/overseeai,2024-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Professional Services, SaaS, Software","OverseeAI A SaaS platform to ensure AI with ROI claims, underwriting, and distribution in P&C insurance.","271,321",,"257,020"
BOLLWERK AI,https://www.crunchbase.com/organization/bollwerk,2024-03-12,day,"Cambridge, Massachusetts, United States",For Profit,Active,"Analytics, Artificial Intelligence (AI), Finance, FinTech, Information Technology, Machine Learning, Natural Language Processing",BOLLWERK AI is building tools for the world's leading financial institutions. Built on transparency and dedication to open and free markets.,"279,689",,"264,934"
Colla Health,https://www.crunchbase.com/organization/colla-health,2024-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Health Care, Mental Health",Colla Health is building a wraparound care platform for cancer centers.,"279,888",,"265,122"
Digital Strategy Co.®,https://www.crunchbase.com/organization/digital-strategy-co,2023-03-31,day,"Boston, Massachusetts, United States",For Profit,Active,"Consulting, Digital Marketing, Marketing, Software",Strategy. Marketing. Technology.,"280,671",,"265,858"
NuCyRNA Therapeutics,https://www.crunchbase.com/organization/nucyrna-therapeutics,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,Biotechnology,"NuCyRNA Therapeuticsis a RNA-targeting therapeutics based on a novel oligonucleotide platform, with an initial focus on CNS diseases.","281,101",,"266,250"
PhenoML,https://www.crunchbase.com/organization/phenoml,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Clinical Trials, Health Care","PhenoML improves clinical decisions and automates workflows with secure, scalable healthcare AI tools.","289,665",,"274,335"
FlipThrough,https://www.crunchbase.com/organization/flipthrough,2024-11-01,month,"Boston, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Generative AI, IT Management, Procurement, SaaS",Autonomous Agreement Management and Proposal Negotiation for Procurement,"290,522",,"275,147"
Forth Therapeutics,https://www.crunchbase.com/organization/forth-therapeutics,2024-01-01,year,"Cambridge, Massachusetts, United States",For Profit,Active,Biotechnology,Forth Therapeutics is a pioneering precision therapeutics that target the underlying mechanisms driving fibrosis.,"296,556",,"280,861"
Omega Helix,https://www.crunchbase.com/organization/omega-helix,2023-10-01,month,"Cambridge, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Generative AI","Omega Helix operates as a subsidiary of Omega Consulting, specializing in AI technology, QR codes, UI/UX design, and SaaS solutions.","298,863",,"283,044"
Melodi,https://www.crunchbase.com/organization/melodi-f8b8,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Information Technology, Productivity Tools","Melodi is an IT firm offering AI based chatbots, voice bots, and agent assistants at one platform.","301,594",,"285,656"
Capstone Consulting,https://www.crunchbase.com/organization/capstone-consulting-42db,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Consulting, CRM, Marketing","Capstone Consulting is a company that offers marketing automation, CRM optimization, RevOps integration, and consulting services.","307,644",,"291,376"
Fueld Conference,https://www.crunchbase.com/organization/fueld-conference,2024-01-01,day,"Boston, Massachusetts, United States",For Profit,Active,Events,The FUELD Conference is a 3-day technology and marketing conference where the cutting edge of marketing meets the forefront of technology.,"307,990",,"291,709"
BOLD Longevity Growth Fund,https://www.crunchbase.com/organization/bold-longevity-growth-fund,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Biotechnology, Health Care, Life Science",BOLD Longevity Growth Fund invests in frontier biotechnologies that target the root causes of diseases and focus on longevity.,"308,457",,"292,158"
Apers,https://www.crunchbase.com/organization/authentiai,2023-04-01,day,"Cambridge, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Information Technology, Real Estate, Software",Automate the Future of Alternative Assets with AI,"309,610",,"293,259"
GrowthFactor,https://www.crunchbase.com/organization/growthfactor-c17a,2024-03-12,day,"Cambridge, Massachusetts, United States",For Profit,Active,"PropTech, SaaS",GrowthFactor is an AI tool that helps businesses make smart decisions about where to expand and set up new locations.,"316,257",,"299,576"
Aspen Tree,https://www.crunchbase.com/organization/aspen-tree-8107,2023-01-01,year,"Cambridge, Massachusetts, United States",For Profit,Active,"Business Development, Finance, Financial Services",Aspen Tree is a holding company that invests in and operates lower middle market software and services companies.,"317,619",,"300,865"
Oxbridge Clinical,https://www.crunchbase.com/organization/oxbridge-clinical,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Biotechnology, Electronics, Robotics","Oxbridge Clinical is creating innovative technologies for point-of-care, germ-specific diagnosis and antibiograms.","318,834",,"302,021"
PayerPrice,https://www.crunchbase.com/organization/payerprice,2023-04-01,month,"Boston, Massachusetts, United States",For Profit,Active,"Health Care, Information Technology",PayerPrice provides streamlined access to healthcare price transparency data and analytics solutions.,"331,386",,"314,000"
Aperture Space,https://www.crunchbase.com/organization/aperture-space,2023-01-01,year,"Cambridge, Massachusetts, United States",For Profit,Active,"Aerospace, Information Technology, Service Industry",Aperture Space is a Space Research and Technology firm offering structure detection and soil moisture maps.,"340,531",,"322,669"
Owl Therapeutics,https://www.crunchbase.com/organization/owl-therapeutics,2023-05-15,day,"Cambridge, Massachusetts, United States",For Profit,Active,Biopharma,Unlocking Wisdom for Brain Health,"343,138",,"325,137"
Reputation Ease,https://www.crunchbase.com/organization/reputation-ease,2024-01-05,day,"Boston, Massachusetts, United States",For Profit,Active,Consulting,Reputation Management Agency,"343,250",,"325,246"
N-ERGY,https://www.crunchbase.com/organization/n-ergy-8bdf,2024-01-01,year,"Cambridge, Massachusetts, United States",For Profit,Active,"Advanced Materials, Industrial Automation, Manufacturing",N-ERGY is a supplier that discovers and designs next-gen radiation resistant materials for space and nuclear applications.,"344,900",,"326,809"
Deco Labs,https://www.crunchbase.com/organization/deco-labs,2024-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Agriculture, Biotechnology, Manufacturing",Deco Labs specializes in biotechnology research for cellular agriculture innovations.,"360,170",,"341,362"
Rise In,https://www.crunchbase.com/organization/rise-in,2023-09-01,month,"Boston, Massachusetts, United States",For Profit,Active,"Education, Software",Rise In is an innovative education platform.,"363,050",,"344,109"
WriteWise,https://www.crunchbase.com/organization/writewise,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Employee Benefits, Health Insurance, Insurance","WriteWise offers a risk transfer platform to reduce health insurance costs, including PMPM pricing and stop-loss insurance.","363,297",,"344,350"
Data Daddy,https://www.crunchbase.com/organization/data-daddy,2023-04-27,day,"Boston, Massachusetts, United States",For Profit,Active,"Information Technology, Software","B2B2C, Big Data, Mobile App, Data Privacy","365,107",,"346,080"
MindEnergy,https://www.crunchbase.com/organization/mindenergy,2024-08-22,day,"Boston, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Internet",Experimental contactless mind-reading technology.,"365,577",,"346,522"
Bummock AI,https://www.crunchbase.com/organization/bummock-ai,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Compliance, Language Learning",Bummock AI uses the latest in Large Language Model and NLP technology to streamline business processes.,"371,135",,"351,799"
Freezenit,https://www.crunchbase.com/organization/freezenit,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Consumer Goods, Personal Health","Freezenit is to revolutionize head lice treatment for all hair types by providing a safe, non-toxic approach.","372,769",,"353,366"
Kura,https://www.crunchbase.com/organization/kura-3410,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Finance, Financial Services, Software",Kura Financial Services offering software firm transforming the rotation of money in markets with safety and securety.,"373,745",,"354,300"
Jutly,https://www.crunchbase.com/organization/jutly-ai,2024-03-01,day,"Boston, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Higher Education, Software","Experiential learning simulations, at scale","374,400",,"354,932"
Parakeet,https://www.crunchbase.com/organization/parakeet-b6f0,2024-04-01,month,"Boston, Massachusetts, United States",For Profit,Active,"Apps, Artificial Intelligence (AI), Email Marketing, SaaS","Parakeet automates cold email outreach with AI for writing, scheduling, validating, throttling and analytics.","376,481",,"356,911"
Coworked,https://www.crunchbase.com/organization/coworked,2023-11-01,month,"Cambridge, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Generative AI, Information Technology, Internet, Project Management, Staffing Agency","Creators of Harmony, the AI project manager coworker","378,755",,"359,078"
Blue Voice,https://www.crunchbase.com/organization/blue-voice,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Apps, Information Technology, Software","Blue Voice is an AI platform that provides law enforcement officers with immediate access to legal, policy, and community resources.","380,192",,"360,448"
